,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
6741,Brunei,2001-01-01,BRN,340759.0,,0.0,0.0,4.389,-0.202,-4.389,5.232,-0.238,-4.354,15.355,,0.234,12.881,,0.196,0.0,0.0,3.024,8.875,,0.0,214.711,281.799,0.004,77.416,78.347,67.088,58.945,,65610.273,,0.583,1.71,2.906,8.527,19.222,23.213,0.843,2.473,1.69,4.96,0.12,0.352,0.901,2.645,,,22.357,0.0,0.017,0.017,0.0,0.0,0.02,0.016,0.0,0.705,0.062,0.01,0.016,,0.207,0.061,0.018,0.009,,7.91,6.55,-1.365,-31.106
6742,Brunei,2002-01-01,BRN,347470.0,,0.0,0.0,4.254,-0.136,-3.088,4.95,-0.282,-5.392,14.246,,0.19,12.243,,0.163,0.0,0.0,3.184,9.163,,0.0,218.965,286.749,0.004,78.101,81.197,67.784,59.663,,75133.312,,0.685,1.972,2.851,8.204,18.879,22.649,0.696,2.004,1.77,5.094,0.11,0.317,0.718,2.067,,,26.107,0.0,0.016,0.016,0.0,0.0,0.02,0.016,0.0,0.692,0.062,0.01,0.015,,0.229,0.058,0.013,0.007,,7.87,6.56,-1.07,-25.157
6743,Brunei,2003-01-01,BRN,354049.0,,0.0,0.0,4.47,0.216,5.084,5.093,0.143,2.888,14.385,,0.189,12.626,,0.166,0.0,0.0,4.397,12.419,,0.0,223.436,291.842,0.004,78.833,84.097,68.407,60.502,,76284.742,,0.732,2.068,2.9,8.19,21.409,25.477,0.623,1.759,1.92,5.423,0.12,0.339,0.838,2.368,,,27.009,0.0,0.016,0.015,0.0,0.0,0.02,0.016,0.0,0.681,0.061,0.01,0.015,,0.245,0.057,0.011,0.008,,9.02,7.58,-0.073,-1.64
6744,Brunei,2004-01-01,BRN,360472.0,,0.0,0.0,4.873,0.403,9.014,5.386,0.293,5.754,14.942,,0.18,13.519,,0.162,0.0,0.0,4.609,12.786,,0.0,228.309,297.229,0.004,79.456,87.339,68.92,61.509,,83202.562,,0.623,1.728,3.243,8.996,19.918,23.497,0.513,1.423,1.89,5.243,0.12,0.333,1.008,2.795,,,29.992,0.0,0.017,0.016,0.0,0.0,0.02,0.016,0.0,0.667,0.061,0.01,0.015,,0.192,0.062,0.01,0.009,,8.47,7.18,-0.264,-5.42
6745,Brunei,2005-01-01,BRN,366728.0,,0.0,0.0,4.869,-0.004,-0.075,5.236,-0.15,-2.789,14.277,,0.155,13.278,,0.144,0.0,0.0,4.526,12.341,,0.0,233.178,302.464,0.004,79.984,90.622,69.286,62.568,,92130.18,,0.528,1.439,3.283,8.952,19.142,22.687,0.366,0.999,1.84,5.017,0.12,0.327,1.059,2.887,,,33.787,0.0,0.016,0.015,0.0,0.0,0.02,0.016,0.0,0.653,0.061,0.01,0.015,,0.153,0.061,0.008,0.01,,8.32,7.02,-0.344,-7.058
6746,Brunei,2006-01-01,BRN,372814.0,,0.0,0.0,4.738,-0.132,-2.709,5.397,0.161,3.079,14.477,,0.104,12.708,,0.091,0.0,0.0,4.332,11.621,,0.0,237.916,307.861,0.004,80.511,93.861,69.946,63.539,,139666.797,,0.528,1.415,3.239,8.688,26.206,29.586,0.66,1.769,2.04,5.472,0.13,0.349,0.971,2.604,,,52.07,0.0,0.015,0.015,0.0,0.0,0.02,0.016,0.0,0.639,0.061,0.01,0.015,,0.152,0.059,0.013,0.009,,11.03,9.77,-0.405,-8.551
6747,Brunei,2007-01-01,BRN,378761.0,,0.0,0.0,8.31,3.572,75.406,8.786,3.389,62.797,23.197,,0.161,21.94,,0.152,0.0,0.0,7.163,18.912,,0.0,246.226,316.648,0.004,81.035,99.801,70.422,65.386,,144318.156,,0.524,1.383,5.939,15.681,24.527,27.828,0.476,1.258,1.92,5.069,0.13,0.343,1.847,4.876,,,54.662,0.0,0.026,0.024,0.0,0.0,0.02,0.016,0.0,0.625,0.063,0.01,0.015,,0.144,0.104,0.011,0.016,,10.54,9.29,-1.147,-13.799
6748,Brunei,2008-01-01,BRN,384579.0,,0.0,0.0,8.991,0.682,8.201,9.907,1.121,12.761,25.762,,0.176,23.38,,0.16,0.0,0.0,7.493,19.485,,0.0,255.217,326.555,0.004,81.479,106.293,71.338,67.441,,145980.906,,0.443,1.153,6.493,16.882,26.392,29.643,0.916,2.382,2.0,5.2,0.13,0.338,2.056,5.345,,,56.141,0.0,0.028,0.027,0.0,0.0,0.02,0.017,0.0,0.611,0.065,0.01,0.015,,0.119,0.111,0.02,0.018,,11.4,10.15,-1.498,-16.661
6749,Brunei,2009-01-01,BRN,390322.0,,0.0,0.0,7.746,-1.246,-13.854,8.625,-1.282,-12.943,22.097,,0.232,19.844,,0.208,0.0,0.0,6.5,16.654,,0.0,262.963,335.18,0.004,81.874,111.889,72.217,69.196,,95420.391,,0.396,1.013,5.596,14.337,25.415,28.694,0.879,2.253,1.81,4.637,0.13,0.333,1.754,4.494,,,37.245,0.0,0.025,0.024,0.0,0.0,0.02,0.017,0.0,0.597,0.066,0.011,0.015,,0.104,0.097,0.017,0.016,,11.2,9.92,-1.245,-16.078
6750,Brunei,2010-01-01,BRN,396064.0,,0.0,0.0,8.061,0.315,4.068,9.013,0.388,4.502,22.758,,0.212,20.352,,0.19,0.0,0.0,6.669,16.838,,0.0,271.024,344.194,0.004,82.219,118.016,73.17,70.786,,107111.188,,0.344,0.87,6.126,15.468,23.33,26.486,0.953,2.405,1.81,4.57,0.14,0.353,1.59,4.015,,,42.423,0.0,0.024,0.024,0.0,0.0,0.02,0.017,0.0,0.583,0.067,0.011,0.015,,0.09,0.099,0.02,0.014,,10.49,9.24,-1.392,-17.266
6751,Brunei,2011-01-01,BRN,401515.0,,0.0,0.0,9.545,1.484,18.409,10.681,1.667,18.496,26.601,,0.245,23.772,,0.219,0.0,0.0,8.784,21.876,,0.0,280.568,354.874,0.004,82.519,125.303,74.306,72.742,,108531.148,,0.3,0.748,7.288,18.15,23.611,24.482,1.136,2.829,1.86,4.632,0.13,0.324,1.957,4.873,,,43.577,0.0,0.028,0.027,0.0,0.0,0.02,0.017,0.0,0.57,0.069,0.011,0.015,,0.081,0.114,0.023,0.017,,9.83,9.48,-0.761,-7.975
6752,Brunei,2012-01-01,BRN,406637.0,,0.0,0.0,9.5,-0.045,-0.47,10.965,0.285,2.667,26.966,,0.259,23.362,,0.224,0.0,0.0,9.054,22.264,,0.0,290.068,365.84,0.004,82.841,132.416,75.772,74.808,,104173.734,,0.321,0.79,7.113,17.492,23.239,24.1,1.466,3.604,1.82,4.476,0.15,0.369,2.066,5.08,,,42.361,0.0,0.027,0.028,0.0,0.0,0.021,0.017,0.0,0.558,0.07,0.011,0.015,,0.084,0.109,0.03,0.018,,9.8,9.45,-0.446,-4.698
6753,Brunei,2013-01-01,BRN,411704.0,,0.0,0.0,7.626,-1.874,-19.724,8.542,-2.423,-22.1,20.748,,0.217,18.523,,0.194,0.0,0.0,8.573,20.824,,0.0,297.694,374.382,0.004,83.186,138.04,76.688,76.464,,95693.625,,0.346,0.84,5.624,13.661,22.443,23.269,0.916,2.225,1.66,4.032,0.15,0.364,1.656,4.023,,,39.397,0.0,0.022,0.021,0.0,0.0,0.021,0.017,0.0,0.546,0.07,0.011,0.015,,0.089,0.086,0.02,0.014,,9.58,9.24,0.947,12.422
6754,Brunei,2014-01-01,BRN,416670.0,,0.0,0.0,8.831,1.205,15.8,10.223,1.681,19.682,24.536,,0.231,21.194,,0.199,0.0,0.0,8.702,20.884,,0.0,306.525,384.605,0.004,83.557,144.811,78.08,78.153,,106339.25,,0.371,0.89,6.771,16.25,21.912,22.944,1.392,3.342,1.68,4.032,0.15,0.36,1.689,4.054,,,44.308,0.0,0.025,0.025,0.0,0.0,0.021,0.018,0.0,0.535,0.072,0.011,0.015,,0.096,0.102,0.028,0.014,,9.56,9.13,-0.129,-1.461
6755,Brunei,2015-01-01,BRN,421449.0,,0.0,0.0,6.933,-1.898,-21.489,8.472,-1.751,-17.129,20.102,,0.173,16.451,,0.142,0.0,0.0,7.547,17.908,,0.0,313.459,393.077,0.004,83.954,149.703,79.619,79.798,,116176.789,,0.397,0.941,4.891,11.606,19.908,20.809,1.539,3.651,1.58,3.749,0.14,0.332,1.645,3.904,,,48.963,0.0,0.019,0.021,0.0,0.0,0.021,0.018,0.0,0.524,0.072,0.011,0.015,,0.103,0.072,0.029,0.014,,8.77,8.39,0.614,8.854
6756,Brunei,2016-01-01,BRN,426001.0,,0.0,0.0,7.633,0.7,10.091,8.659,0.187,2.203,20.326,,0.169,17.918,,0.149,0.0,0.0,7.061,16.576,,0.0,321.091,401.736,0.004,84.442,155.044,80.645,81.602,,120051.602,,0.489,1.147,5.341,12.537,21.197,22.113,1.026,2.408,1.58,3.709,0.15,0.352,1.803,4.234,,,51.142,0.0,0.021,0.022,0.0,0.0,0.021,0.018,0.0,0.515,0.072,0.011,0.015,,0.129,0.077,0.023,0.015,,9.42,9.03,-0.571,-7.487
6757,Brunei,2017-01-01,BRN,430290.0,,0.0,0.0,9.309,1.676,21.964,10.372,1.713,19.785,24.105,,0.202,21.635,,0.181,0.0,0.0,8.4,19.522,,0.0,330.401,412.108,0.004,85.002,161.866,81.707,83.529,,119337.055,,0.56,1.301,6.822,15.855,22.078,22.845,1.063,2.469,1.64,3.811,0.14,0.325,1.927,4.479,,,51.35,0.0,0.026,0.026,0.0,0.0,0.021,0.018,0.0,0.507,0.072,0.011,0.015,,0.143,0.095,0.025,0.016,,9.83,9.5,-0.909,-9.767
6758,Brunei,2018-01-01,BRN,434283.0,,0.0,0.0,9.344,0.035,0.376,10.444,0.072,0.691,24.048,,0.196,21.517,,0.175,0.0,0.0,9.376,21.589,,0.0,339.745,422.552,0.004,85.414,168.892,82.806,85.435,,122979.117,,0.412,0.949,7.027,16.18,22.589,23.349,1.099,2.531,1.62,3.73,0.15,0.345,1.906,4.389,,,53.408,0.0,0.025,0.025,0.0,0.0,0.021,0.018,0.0,0.497,0.073,0.011,0.015,,0.1,0.093,0.026,0.016,,10.14,9.81,0.031,0.336
6759,Brunei,2019-01-01,BRN,438058.0,,0.0,0.0,10.488,1.143,12.233,11.623,1.18,11.296,26.534,,0.221,23.941,,0.199,0.363,0.828,9.847,22.48,,0.0,350.233,434.175,0.366,85.99,174.865,83.942,89.011,,120314.977,,0.576,1.316,5.972,13.634,21.23,21.983,1.136,2.593,1.59,3.63,0.15,0.342,3.576,8.163,,,52.705,0.0,0.028,0.028,0.002,0.0,0.021,0.018,0.0,0.488,0.073,0.011,0.015,,0.131,0.078,0.025,0.029,,9.63,9.3,-0.64,-6.104
6760,Brunei,2020-01-01,BRN,441736.0,,0.0,0.0,10.553,0.066,0.626,11.689,0.066,0.565,26.462,,,23.89,,,0.381,0.862,9.961,22.55,,0.0,360.786,445.864,0.747,86.276,180.977,85.078,92.785,,,,0.286,0.647,6.112,13.837,,,1.136,2.571,,,,,3.774,8.544,,,,0.0,0.03,0.03,0.003,0.0,0.021,0.018,0.0,0.478,0.074,0.012,0.016,,0.07,0.081,0.028,0.034,,,,-0.592,-5.611
6761,Brunei,2021-01-01,BRN,445382.0,,0.0,0.0,10.481,-0.073,-0.688,11.616,-0.073,-0.621,26.082,,,23.532,,,0.386,0.866,,,,0.0,371.266,457.48,1.133,86.682,186.788,86.214,96.664,,,,0.405,0.91,5.811,13.047,,,1.136,2.55,,,,,3.879,8.709,,,,0.0,0.028,0.028,0.003,0.0,0.021,0.018,0.0,0.47,0.074,0.012,0.016,,0.097,0.073,0.029,0.033,,,,,
